Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.0058782,5.88E-06,3.54E+15,0.14564,0.0056846,0.065379,0.023975,0.0041301,0.026364
0.0059709,5.97E-06,3.60E+15,0.14508,0.0054828,0.06689,0.024036,0.004043,0.02683
0.0060629,6.06E-06,3.65E+15,0.14506,0.0054444,0.064515,0.024351,0.0039569,0.026929
0.0061529,6.15E-06,3.71E+15,0.14303,0.0054413,0.065588,0.023858,0.0039913,0.026611
0.0062357,6.24E-06,3.76E+15,0.14299,0.0053425,0.065263,0.023812,0.0042382,0.026498
0.0063082,6.31E-06,3.80E+15,0.1426,0.0053781,0.065558,0.024129,0.0041017,0.026095
0.0063855,6.39E-06,3.85E+15,0.14382,0.0054353,0.064233,0.023549,0.0042135,0.026489
0.0064644,6.46E-06,3.89E+15,0.14197,0.0054231,0.063799,0.023374,0.0040868,0.026085
0.0065542,6.55E-06,3.95E+15,0.14183,0.0054954,0.064958,0.02394,0.0038043,0.025764
0.0066399,6.64E-06,4.00E+15,0.14225,0.0054147,0.063168,0.023322,0.0040513,0.0262
0.0067294,6.73E-06,4.05E+15,0.14181,0.0053678,0.065188,0.023854,0.0041081,0.025238
0.0068063,6.81E-06,4.10E+15,0.14101,0.0053006,0.063565,0.023678,0.0039645,0.025579
0.0068933,6.89E-06,4.15E+15,0.14104,0.005307,0.06459,0.02416,0.0039226,0.025631
0.0069712,6.97E-06,4.20E+15,0.13976,0.0053351,0.063981,0.02384,0.0040017,0.025721
0.0070554,7.06E-06,4.25E+15,0.14225,0.0052184,0.063715,0.023985,0.0039822,0.025303
0.0071391,7.14E-06,4.30E+15,0.14085,0.0052304,0.063944,0.023408,0.0039677,0.024871
0.0072155,7.22E-06,4.35E+15,0.14103,0.0052804,0.063823,0.023426,0.0038454,0.024871
0.0072958,7.30E-06,4.40E+15,0.13966,0.0051682,0.063871,0.02338,0.003944,0.024613
0.007381,7.38E-06,4.45E+15,0.13997,0.0051832,0.06419,0.02299,0.0039209,0.024764
0.007457,7.46E-06,4.49E+15,0.13955,0.0052115,0.063476,0.023437,0.0039517,0.024745
0.0075375,7.54E-06,4.54E+15,0.13955,0.00513,0.063385,0.022985,0.0039317,0.024305
0.0076252,7.63E-06,4.59E+15,0.1402,0.0053004,0.062585,0.023334,0.0035908,0.024477
0.0077018,7.70E-06,4.64E+15,0.13853,0.0050922,0.06363,0.022723,0.0040833,0.024281
0.0077764,7.78E-06,4.68E+15,0.13755,0.0052115,0.063262,0.023165,0.0040207,0.024263
0.007852,7.85E-06,4.73E+15,0.13859,0.0048872,0.06222,0.023341,0.0040017,0.024204
0.0079306,7.93E-06,4.78E+15,0.13784,0.005,0.063593,0.023207,0.0039389,0.023899
0.0080131,8.01E-06,4.83E+15,0.13784,0.0050393,0.062269,0.023364,0.0038578,0.02419
